=======================================================================================
AI DATA FILE - General  Vikings
Race Opt 2 Characteristic 4 Amount       := 101
Race Opt 2 Characteristic 5 Type         := Happiness
Race Opt 2 Characteristic 5 Amount       := 105
Race Opt 2 Characteristic 6 Type         := Political Savvy
Race Opt 2 Characteristic 6 Amount       := 90
Race Opt 2 Characteristic 7 Type         := Mining Aptitude
Race Opt 2 Characteristic 7 Amount       := 113
Race Opt 2 Characteristic 8 Type         := Farming Aptitude
Race Opt 2 Characteristic 8 Amount       := 101
Race Opt 2 Characteristic 9 Type         := Refining Aptitude
Race Opt 2 Characteristic 9 Amount       := 113
Race Opt 2 Characteristic 10 Type        := Construction Aptitude
Race Opt 2 Characteristic 10 Amount      := 100
Race Opt 2 Num Advanced Traits           := 5
Race Opt 2 Adv Trait 1                   := SpaceFaring Race
Race Opt 2 Adv Trait 2                   := Ice Natives
Race Opt 2 Adv Trait 3                   := AI Race
Race Opt 2 Adv Trait 4                   := High Tech Scavengers
Race Opt 2 Adv Trait 5                   := Natural Builders
Race Opt 3 Num Characteristics           := 10
Race Opt 3 Characteristic 1 Type         := Physical Strength
Race Opt 3 Characteristic 1 Amount       := 100
Race Opt 3 Characteristic 2 Type         := Intelligence
Race Opt 3 Characteristic 2 Amount       := 105
Race Opt 3 Characteristic 3 Type         := Cunning
Race Opt 3 Characteristic 3 Amount       := 90
Race Opt 3 Characteristic 4 Type         := Reproduction
Race Opt 3 Characteristic 4 Amount       := 101
Race Opt 3 Characteristic 5 Type         := Happiness
Race Opt 3 Characteristic 5 Amount       := 105
Race Opt 3 Characteristic 6 Type         := Political Savvy
Race Opt 3 Characteristic 6 Amount       := 90
Race Opt 3 Characteristic 7 Type         := Mining Aptitude
Race Opt 3 Characteristic 7 Amount       := 113
Race Opt 3 Characteristic 8 Type         := Farming Aptitude
Race Opt 3 Characteristic 8 Amount       := 101
Race Opt 3 Characteristic 9 Type         := Refining Aptitude
Race Opt 3 Characteristic 9 Amount       := 113
Race Opt 3 Characteristic 10 Type        := Construction Aptitude
Race Opt 3 Characteristic 10 Amount      := 100
Race Opt 3 Num Advanced Traits           := 6
Race Opt 3 Adv Trait 1                   := SpaceFaring Race
Race Opt 3 Adv Trait 2                   := Ice Natives
Race Opt 3 Adv Trait 3                   := AI Race
Race Opt 3 Adv Trait 4                   := High Tech Scavengers
Race Opt 3 Adv Trait 5                   := Natural Builders
Race Opt 3 Adv Trait 6                   := High Density Urbanites

=======================================================================================
*END*
=======================================================================================
